model,deployment,protocol,mode,location,iterations,errors,concurrency,total_time_sec,throughput_fps,avg_latency_fps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,test_type,timestamp
yolov8l,nim-binary,grpc,concurrent,internal,500,0,16,2.1557781699998486,231.934809878901,16.17314985674191,61.830874558003416,53.22483000009015,101.99928099973476,116.01999599997725,148.51878899980875,12.56718299964632,194.91108600004736,internal,2026-01-02T10:23:40.497555
yolov8m,base-yolo,http,concurrent,internal,500,0,16,23.585543870000038,21.19942634165761,1.3454983026070786,743.2190721180172,753.2758659999672,758.9845990005415,761.1571480010753,774.0233949989488,52.09237900089647,775.7175679998909,internal,2026-01-02T12:06:11.915434
yolov8m,nim-binary,grpc,concurrent,internal,500,0,16,2.1948671479999575,227.80422061336063,16.47534932950358,60.69674032399598,53.00621899959879,103.28455399985614,123.93067200036967,164.6255470000142,12.90400400012004,247.37183400020513,internal,2026-01-02T10:24:24.253483
yolov8s,base-yolo,http,concurrent,internal,500,0,16,23.738736413999504,21.062620658491905,1.3366373041101332,748.146110336005,757.705108000664,766.0143249995599,769.8372309987462,788.0157539984793,54.25386899878504,788.9495300005365,internal,2026-01-02T12:06:55.435130
yolov8s,nim-binary,grpc,concurrent,internal,500,0,16,2.0922609790000024,238.97592366272363,16.976994549856222,58.90324091601178,51.52035999981308,102.72018699970431,127.08705200020631,172.50520200013852,12.241998000263266,223.35074500006158,internal,2026-01-02T10:25:07.949323
yolov8x,nim-binary,grpc,concurrent,internal,500,0,16,2.213595592999809,225.87685012618434,16.172819768484036,61.83213653000075,56.561345999853074,102.86131899965767,125.6463170002462,167.70366099990497,12.535462999949232,189.52834099991378,internal,2026-01-02T10:25:51.848887
yolov11l,base-yolo,http,concurrent,internal,1000,0,32,47.88402043199994,20.88379361169347,0.6629490662173305,1508.4115069439983,1530.3055139997923,1543.2329349996508,1549.2468749998807,1554.1724239997166,62.14570200017988,1558.6912039998424,internal,2026-01-02T10:35:55.218070
yolov11l,nim-binary,grpc,concurrent,internal,1000,0,32,4.507304748000024,221.86207853900245,8.666391494027694,115.38827904199043,82.89973000000828,243.270498000129,315.2254589999757,452.6372010000159,12.876646999757213,610.9933120001187,internal,2026-01-02T10:36:03.393134
yolov11l,nim-grpc,grpc,concurrent,internal,1000,0,32,4.3364754379999795,230.6020209954674,9.043342770676643,110.578579775007,84.9190520002594,216.98010999989492,289.97455499984426,441.5052190001916,13.154048000160401,697.3641859999589,internal,2026-01-02T10:36:11.419647
yolov11l,nim-batching,grpc,concurrent,internal,650,350,32,4.944346456999938,131.46327945521804,9.880899644892882,101.2053594246216,82.01778400007242,197.85935499976404,248.74451200003023,370.2952720000212,15.13591399998404,497.97571899989634,internal,2026-01-02T10:36:20.797479
yolov11m,base-yolo,http,concurrent,internal,1000,0,32,47.728618431000086,20.95179020204978,0.6651943228783299,1503.3201060299925,1524.8281600001974,1535.4506650000985,1538.496464000218,1545.4826769996544,61.16897299989432,1547.6520219999657,internal,2026-01-02T10:37:12.955345
yolov11m,nim-binary,grpc,concurrent,internal,1000,0,32,4.541693441000007,220.18218820595172,9.144664789878986,109.35337959099027,81.28558599992175,226.46194800017838,308.0451119999452,404.0589410001303,12.250032999872928,662.449044999903,internal,2026-01-02T10:37:21.242321
yolov11m,nim-grpc,grpc,concurrent,internal,1000,0,32,4.333937438000248,230.73706399910952,9.103304087189676,109.85022475600009,83.32449400040787,230.72434999994584,286.7558419998204,358.1813069999953,12.828602999888972,540.6240080001226,internal,2026-01-02T10:37:29.310513
yolov11s,base-yolo,http,concurrent,internal,1000,0,32,47.65362351500016,20.984763093308636,0.666158820638972,1501.143524664,1523.6775349999334,1531.5104720002637,1537.46907499999,1544.3798410001364,58.962815000086266,1547.7523490003477,internal,2026-01-02T10:38:24.403214
yolov11s,nim-binary,grpc,concurrent,internal,1000,0,32,4.521081546999994,221.18601259549484,8.73198846585257,114.52145223400296,86.78520900002695,233.50700499986488,294.2847039998924,434.2435700000351,13.473883000187925,518.1615970000166,internal,2026-01-02T10:38:32.616116
yolov11s,nim-grpc,grpc,concurrent,internal,1000,0,32,4.584464370000205,218.12799038068547,8.452117429028945,118.31354786499801,91.23496399979558,239.7191400000338,285.2885540000898,422.48505500037936,12.32270399987101,737.5303829999211,internal,2026-01-02T10:38:40.879304
yolov8l,base-yolo,http,concurrent,internal,1000,0,32,47.56836917700002,21.02237300335102,0.667269923011819,1498.643900336997,1517.895191000207,1529.8883020000176,1560.4008629998134,1600.1690180000878,59.507610999844474,1603.2626359997266,internal,2026-01-02T10:39:35.876059
yolov8l,nim-binary,grpc,concurrent,internal,1000,0,32,4.609360941999967,216.9498142113617,8.742191931503525,114.38778830700129,93.27113799963627,219.2509709998376,301.53218500026924,393.5362370002622,13.084938999782025,570.1014569999643,internal,2026-01-02T10:39:44.202235
yolov8l,nim-grpc,grpc,concurrent,internal,1000,0,32,4.6789970459999495,213.72101545883532,8.507864020844162,117.5383148520019,102.79165900010412,222.43129300022701,258.4962880000603,363.2071229999383,13.878791000024648,581.6200780000145,internal,2026-01-02T10:39:52.533421
yolov8m,base-yolo,http,concurrent,internal,1000,0,32,47.788768871999764,20.92541874594967,0.6642048143417297,1505.5596984659999,1519.933913999921,1561.1225959996773,1591.9084479996854,1599.9116459997822,59.265541000058874,1602.5850260002699,internal,2026-01-02T10:40:47.789875
yolov8m,nim-binary,grpc,concurrent,internal,1000,0,32,4.472264857000027,223.60035283572068,8.898925212389324,112.37312103800727,83.4565410000323,221.5303060002043,302.39682399997037,437.5940290001381,12.278663999950368,575.2001230002861,internal,2026-01-02T10:40:56.062942
yolov8m,nim-grpc,grpc,concurrent,internal,1000,0,32,4.276344927000082,233.84456049982725,35.7598553932958,27.964318898993042,20.2308399998401,54.64187000006859,72.72446700017099,122.29827800001658,8.305715000005875,226.6321879997122,internal,2026-01-02T10:41:04.045117
yolov8s,base-yolo,http,concurrent,internal,1000,0,32,47.56855627699997,21.022290316671086,0.6673555144259411,1498.451692364001,1520.3921019997324,1529.9807500000497,1535.9332049997647,1547.4109179999687,62.4683119999645,1549.8328019998553,internal,2026-01-02T10:41:58.982868
yolov8s,nim-binary,grpc,concurrent,internal,1000,0,32,4.493973267000001,222.5202377911697,8.602846261615015,116.2405987030006,92.60101600011694,233.87312099976043,279.38121099987256,412.02595100003236,12.821046000226488,686.584182000388,internal,2026-01-02T10:42:07.285222
yolov8s,nim-grpc,grpc,concurrent,internal,1000,0,32,4.353460379999888,229.70233164267955,9.020823705750772,110.85462177500492,83.09900999984166,234.46019399989382,294.3449590002274,418.9784310001414,13.650835000134975,556.6975500000808,internal,2026-01-02T10:42:15.327266
yolov8x,base-yolo,http,concurrent,internal,1000,0,32,47.58922935600003,21.01315809338527,0.6670876061226594,1499.053483862998,1518.017069999587,1533.9651749995937,1565.2572760000112,1574.9314760000743,57.884036999894306,1577.5155020000966,internal,2026-01-02T10:43:10.374665
yolov8x,nim-binary,grpc,concurrent,internal,1000,0,32,4.377083548999963,228.46262558284297,9.369599921999907,106.72814296499372,83.72049900026468,216.65793000011035,265.46392299997024,406.364301999929,12.737304999973276,666.4925599998242,internal,2026-01-02T10:43:18.447746
yolov8x,nim-grpc,grpc,concurrent,internal,1000,0,32,4.564433773000019,219.0852249659743,8.85515219309572,112.92860678099817,83.09831299993675,238.37084800015873,287.4385400000392,383.22996099986995,13.187802999709675,680.9630800003106,internal,2026-01-02T10:43:26.764929
